[InfoApp]xformMap:0:__ioc_report_mul_overflow:../src/gmt2local.c: (line 59, col 23)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/gmt2local.c: (line 50, col 69)
[InfoApp]xformMap:1:__ioc___ioc_report_mul_overflow:../src/gmt2local.c: (line 50, col 42)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/gmt2local.c: (line 56, col 24)
[InfoApp]xformMap:1:__ioc___ioc_report_mul_overflow:../src/gmt2local.c: (line 50, col 86)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/gmt2local.c: (line 58, col 26)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/gmt2local.c: (line 50, col 24)
[InfoApp]xformMap:0:__ioc_report_mul_overflow:../src/gmt2local.c: (line 50, col 47)
[InfoApp]xformMap:0:__ioc_report_mul_overflow:../src/gmt2local.c: (line 59, col 18)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/gmt2local.c: (line 50, col 52)
[InfoApp]xformMap:1:__ioc___ioc_report_mul_overflow:../src/gmt2local.c: (line 59, col 13)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 300, col 40)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 415, col 24)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 300, col 23)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/parsenfsfh.c: (line 308, col 14)
[InfoApp]xformMap:0:__ioc_report_shl_strict:../src/parsenfsfh.c: (line 237, col 69)
[InfoApp]xformMap:0:__ioc_report_shl_strict:../src/parsenfsfh.c: (line 299, col 79)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/parsenfsfh.c: (line 300, col 14)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/parsenfsfh.c: (line 310, col 14)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 375, col 58)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 324, col 22)
[InfoApp]xformMap:0:__ioc_report_shl_strict:../src/parsenfsfh.c: (line 374, col 79)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/parsenfsfh.c: (line 375, col 14)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 375, col 23)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 310, col 38)
[InfoApp]xformMap:0:__ioc_report_shl_strict:../src/parsenfsfh.c: (line 350, col 71)
[InfoApp]xformMap:0:__ioc_report_mul_overflow:../src/parsenfsfh.c: (line 388, col 52)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 248, col 58)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 256, col 52)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 248, col 40)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 375, col 40)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 372, col 22)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 310, col 22)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/parsenfsfh.c: (line 237, col 14)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 324, col 38)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 300, col 58)
[InfoApp]xformMap:0:__ioc_report_shl_strict:../src/parsenfsfh.c: (line 313, col 69)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/parsenfsfh.c: (line 350, col 60)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/parsenfsfh.c: (line 299, col 28)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/parsenfsfh.c: (line 374, col 28)
